el efectivo	cash
entregar	to give
entregar	to deliver
cuánto tiempo	how long
llevar	to take
llegar	to get
llegar	to arrive
esperar	to hope
esperar	to wait for
la estampilla	stamp
la empresa	company
la frase	phrase
el secreto	secret
la llamada	call
el grito	scream
la publicidad	advertising
la voz	voice
la entrevista	interview
cualquier	any
el rumbo	course
santo	holy
el edificio	building
la iglesia	church
mía	mine
la cruz	cross
joven	young
por suerte	luckily
gracias a Dios	thank God
el espíritu	spirit
la fe	faith
el alma	heart
el alma	soul
sin mí	without me
a la larga	in the long term
el sofá	couch
la asa	handle
el mango	handle
el aparato	device
el bulbo	bulb
la nevera	fridge
dentro de poco	in a short time
de todas maneras	anyway
de todas formas	anyway
de todos modos	anyway
subir	to turn up
macho	tough
sensual	sensual
expreso	espresso
feo	ugly
no hay de qué	you're welcome
la paciencia	patience
valiente	brave
acongojar	to cause anguish
acongojar	to grieve
equivocado	wrong
nuevamente	once again
otra vez	again
el ajedrez	chess
la opción	choice
la cola	line
la cola	tail
mudarse	to move
mover	to move
el turno	turn
la prueba	test
acongojar	to distress
ruidoso	noisy
fuerte	loud
el muchacho	boy
teclear	to type
el estante	shelf
hace tiempo	for some time
la adversidad	adversity
recoger	to pick up
la galleta	cookie
excitado	excited
tan	so
hala	Come on!
vaya	well
guau	wow
señorial	stately
qué extraño	how strange
suponer	to suppose
dispersar	to disperse
convertirse	to become
derramar	to spill
llevarse	to take
la fuga	leak
congregarse	to assemble
el vecino	resident
alrededor	around
el caos	chaos
además	furthermore
desatar	to unleash
el combustible	fuel
luego de que	after
el ladrón	thief
al menos	at least
devastador	devastating
recolectar	to collect
genial	great
precipitar	to hasten
hervir	to boil
anudar	to tie
ciertamente	certainly
en efecto	indeed
el prestidigitador	conjurer
la pista	track
ya que	now that
ya que	since
vale	okay
soler	to use to
esquiar	to ski
claro	clear
claro que	of course
¡Claro que sí!	Of course!
la mente	mind
perezoso	lazy
el perezoso	sloth
el caracol	snail
la lejía	bleach
el hecho	fact
de hecho	in fact
el estacionamiento	parking lot
el estacionamiento	parking
la sobremesa	after-dinner conversation
el sonambulismo	sleepwalking
la avena	oatmeal
el humano	human
humano	human
el lago	lake
partir	to leave
partir	to cut
romper	to break
siquiera	even if
ni siquiera	not even
la traducción	translation
el miedo	fear
no hay de qué	don't mention it
así que	so
nacer	to be born
tonto	dumb
corpulento	heavyset
asequible	affordable
la pantufla	slipper
el tesoro	treasure
el cuchillo	knife
el tenedor	fork
la cuchara	spoon
el inframundo	underworld
merecidamente	deservedly
grácil	graceful
cuyo	whose
acerca de	about
atender	to attend to
cubrir	to cover
añadir	to add
andar	to go
andar	to walk
andar	to take
asumir	to assume
aparecer	to turn up
iniciar	to begin
subir	to go up
la pantalla	screen
regresar	to return
matar	to kill
el chavo	guy
recuperar	to recover
más	else
aumentar	to increase
intentar	to try
ofrecer	to offer
pedir	to ask for
desarrollar	to develop
realizar	to carry out
la caída	fall
el resultado	result
el esfuerzo	effort
el éxito	success
la sombra	shadow
de nuevo	again
reconocer	to recognize
ponerse	to get
el comportamiento	behavior
además	besides
ninguno	none of
ninguno	no one
mismo	same
desde entonces	since then
la conducta	behavior
el principio	beginning
qué tan	how
entregar	to turn in
el gesto	gesture
desde	from
mi	my
la belleza	beauty
la relación	connection
todo	everyone
el brazo	arm
de verdad	really
estar de mal humor	to be in a bad mood
la curiosidad	curiosity
el deseo	desire
nuestro	ours
tuyo	yours
mío	mine
el humor	mood
el sentimiento	feeling
una vez	one time
todo el tiempo	all the time
cada vez	every time
cada vez que	each time
lentamente	slowly
despacio	slowly
lento	slow
más rápido	faster
rápido	fast
finalmente	finally
completamente	completely
la personalidad	personality
el temor	fear
necesario	necessary
el dolor	pain
la soledad	solitude
la sorpresa	surprise
aunque	even though
así	like this
aun	even
todavía	still
todo	all
perder	to lose
la esperanza	hope
la caja	box
la ranfla	ramp
el semáforo	traffic light
robusto	robust
el melón	cantaloupe
la economía	economy
el océano	ocean
mino	kitty
el hipo	hiccups
en el centro	downtown
la vajilla	dishes
la toalla	towel
la pasta dental	toothpaste
el papel higiénico	toilet paper
el músculo	muscle
la rodilla	knee
la nariz	nose
estacionar	to park
la autopista	freeway
la carretera	highway
alegrar	to cheer up
alegrarse	to be happy
la alegría	joy
sonreír	to smile
consagrar	to consecrate
lúdico	playful
la vida	life
vivo	alive
eclipsar	to eclipse
insólito	unusual
alguien	someone
la rienda	rein
enquistar	to embed
alguno	some
algo	something
llenar	to fill
salobre	salty
